"Marca","Codigo De Material SAP","Descripción Del Material SAP","Cod GENERICO","Txt GENERICO","Cod Grupo Artículo","descolorrgb","desdescubremas001","desdescubremas002","desdescubremas003","codcategoriawebredes","desimagen001","desimagen002","desimagen003","desimagen004","despaso001","despaso002","despaso003","despaso004","desperfumista001","desperfumista002","destip001","destip002","destip003","destip004","deswebredes","deslinkvideo001","deslinkvideo002","deslinkvideo003","deslinkvideo004","deslinkvideo005","desnombrecategoriawebredes","desnombrearchivovideo001","desnombrearchivovideo002","desnombrearchivovideo003","desnombrearchivovideo004","desnombreproductowebredes","despalabrasclave","desresumen","destextovideo001","destextovideo002","destextovideo003","destextovideo004","destextovideo005","destitulodescubremas001","destitulodescubremas002","destitulodescubremas003","destitulogeneralpasoapaso","destitulopaso001","destitulopaso002","destitulopaso003","destitulopaso004","destituloperfumista001","destituloperfumista002","destitulotip001","destitulotip002","destitulotip003","destitulotip004"
"ESIKA","210082144","ESIKA ACC GLACE CHIC DAM LENTE","","","Lentes","","127844","127844","127844","127844","","","","","","","","","","","","","","","127844","","","","","","127844","","","","","127844","","127844","","","","","","127844","127844","127844","","","","","","","","","","",""
"CYZONE","210087995","CYZONE THE CITY LENTE","","","Lentes","","Los lentes the city vienen con detalle de metal en el frente, marco incompleto de plástico y lunas con degradé, además de protección UV400.","Si quieres usar prendas cómodas que hacen lucir un look relajado, los protagonistas tienen que ser los accesorios, así que un bolso grande y este par de lentes de sol le darán mucha personalidad a tu outfit.","Los lentes the city vienen en metal y plástico, con lunas con degradé. Sus medidas aprox. son: 13.6 cm / 5.4”","cyzone-13","","","","","","","","","","","","","","","Dale un toque diferente a tu look con los lentes the city.","","","","","","Accesorios","","","","","Lentes the city","","Los lentes the city vienen con detalle de metal en el frente, plástico y lunas con degradé, además de protección UV400.","","","","","","CONOCE EL PRODUCTO","CÓMO Y CUÁNDO USARLO","MÁS DETALLES DEL PRODUCTO","","","","","","","","","","",""
"ESIKA","210088349","ESIKA ACC METAL GLAM LENTES","","","Lentes","","Nos encanta su diseño de tendencia, son perfectos para sorprender en todos lados. Además, cuida tus ojos con su protección UV.","Son muy versátiles y combínables por lo que puedes llevarlos con diferentes looks. ¡Se verán bien con todo!","Los lentes Metal Glam cuentan con el marco y las patas de metal bañado en oro rosado y las lunas espejadas en turquesa claro.","esika-07","","","","","Aplicar sobre los labios hasta obtener el acabado deseado.","","","","","","","","","","La mejor opción para protegerte del sol y verte totalmente fabulosa. Los lentes Metal Glam son el accesorio ideal para complementar tus looks todos los días.","","","","","","Bijouterie","","","","","Lentes Metal Glam","","Lentes tipo aviador","","","","","","¿Por qué nos encanta?","¿Cómo usarlo?","Detalles","","Aplica","","","","","","","","",""
"ESIKA","210088350","ESIKA ACC MISTIK SHADE LENTES","","","Lentes","","Son perfectos para darle el toque de estilo a tu día a día.","Utilízalos en diversas ocasiones, tanto para tu looks más casuales como para los más elegantes.","Los lentes Mistik Shade cuentan con lunas oscuras con degradé con protección UV. Recuerda que para mantenerlos en buen estado, debes evitar el contacto con cualquier tipo de líquido.","esika-07","","","","","","","","","","","","","","","El look femenino que siempre quisiste lo consigues con unos lentes impactantes. Mistik Shade es un modelo único que le brindará glamour a tus looks.","","","","","","Bijouterie","","","","","Lentes Mistik Shade","","Lentes de sol con marcos y brazos en metal plateado.","","","","","","¿Por qué nos encanta?","¿Cómo usarlo?","Detalles","","","","","","","","","","",""
"ESIKA","210088351","ESIKA ACC BELLEZZA GOLD LENTES","","","Lentes","","Nos encanta su diseño glamoroso con lunas espejadas y la mezcla de tonalidades que lo convierten en un accesorio de tendencia.","Llévalo en tu día a día para los días soleados o cuando desees aportarle más estilo a tus looks casuales.","Los lentes Belleza Gold tienen el borde de las lunas en metal dorado y cuentan con protección UV. Recuerda que para mantenerlos en buen estado, debes evitar el contacto con cualquier tipo de líquido.","esika-07","","","","","","","","","","","","","","","Sorprende a donde vayas con el toque perfecto de glamour. Luce siempre perfecta con un accesorio infaltable que marca el estilo, los lentes Bellezza Gold.","","","","","","Bijouterie","","","","","Lentes Belezza Gold","","Lentes con marco de metal dorado de 13.8 cm y brazos de metal y plástico en negro, de 14.3 cm.","","","","","","¿Por qué nos encanta?","¿Cómo usarlo?","Detalles","","","","","","","","","","",""
"ESIKA","210088352","ESIKA ACC DARK SHADES LENTES","","","Lentes","","Nos encanta su forma Cat Eye, un modelo clásico que se ha reintentado con los años.","Úsalos todos los días en todo momento, sobre todo en aquellos días de soleados. Le aportarán un estilo único a tus looks.","Los lentes de sol Dark Shades tienen el marco de plástico negro con el borde superior de metal dorado, brazos negros con aplicación de metal y cuentan con protección UV. Recuerda que para mantenerlos en buen estado, debes evitar el contacto con cualquier tipo de líquido.","esika-07","","","","","","","","","","","","","","","Lleva contigo un accesorio perfecto para tu día a día. Los lentes de sol Dark Shakespeare son el accesorio ideal para realzar tu estilo.","","","","","","Bijouterie","","","","","Lentes de Sol Dark Shades","","Lentes de plástico negro con lunas oscuras.","","","","","","¿Por qué nos encanta?","¿Cómo usarlo?","Detalles","","","","","","","","","","",""
"ESIKA","210088389","ES BROWN CROWN LENTES","","","Lentes","","Nos encanta su diseño  y la mezcla de texturas y materiales.","Conviértelos en tus aliados del día a día. Ideales para darles un twist más glamoroso a tus outfits.","Los lentes Brown Crown tienen el borde de las lunas en metal dorado y cuentan con protección UV. Recuerda que para mantenerlos en buen estado, debes evitar el contacto con cualquier tipo de líquido.","esika-07","","","","","","","","","","","","","","","Lleva una mirada fashion a donde vayas. Los lentes Brown Crown son el accesorio ideal para tener un look fabuloso.","","","","","","Bijouterie","","","","","Lentes Brown Crown","","Lentes con marco tipo carey y lunas en degradé marrón.","","","","","","¿Por qué nos encanta?","¿Cómo usarlo?","Detalles","","","","","","","","","","",""
"CYZONE","210088877","CYZONE SUMMER SEASON LENTE","","","Lentes","","Los lentes summer season vienen en metal y pla´stico. Viene con lunas con degrade´ y protección UV400.","Estos lentes son perfectos para llevarlos siempre contigo. Además de protegerte del sol, le darán un toque súper a tu look. Por su diseño y colores, van con todo. ","Los lentes summer season vienen en metal y pla´stico. Tienen lunas con degrade´. Sus medidas aprox. son: 14.5 cm / 5.7”","cyzone-0103","","","","","","","","","","","","","","","Los lentes summer season vienen en metal y pla´stico. Viene con lunas con degrade´ y protección UV400.","","","","","","Accesorios","","","","","Lentes summer season","lentes, anteojos, lentes de sol, lentes para sol, lentes cyzone, lentes de sol cyzone","Lentes con marco y brazos en metal y pla´stico, con lunas con degrade´ y protección UV400.","","","","","","CONOCE EL PRODUCTO","CÓMO Y CUÁNDO USARLO","MÁS DETALLES DEL PRODUCTO","","","","","","","","","","",""
"ESIKA","210088976","ESIKA ACC BLUE SESSIONS LENTE","","","Lentes","","","","","esika-07","","","","","","","","","","","","","","","","","","","","","Bijouterie","","","","","Lentes Blue Sessions","","","","","","","","","","","","","","","","","","","","",""
"ESIKA","210088981","ESIKA ACC CAT STYLE LENTE","","","Lentes","","Nos encanta su estilo clásico que es perfecto para realzar tus looks del día a día.","Úsalos todos los días con tus looks casuales, son infaltables para los días soleados.","Los lentes de sol Cat Style tienen el marco de color marrón oscuro con aplicaciones en metal dorado y cuentan con protección UV. Recuerda que para mantenerlos en buen estado, debes evitar el contacto con cualquier tipo de líquido.","esika-07","","","","","","","","","","","","","","","Complementa tu estilo con un modelo de lentes que jamás pasará de moda. Un clásico que se reinventa.","","","","","","Bijouterie","","","","","Lentes Cat Style","","Lentes de acabado carey en los brazos con lunas marrones en degradé.","","","","","","¿Por qué nos encanta?","¿Cómo usarlo?","Detalles","","","","","","","","","","",""
