"codpais","desmarca","aniocampana","cuc","bpcs","codsap","codtipooferta","vincnumoferta","vincodestrategia","descripcuc","pup","desproducto","nrogrupo","precionormalmn","preciooferta","uudemandadas","realuuvendidas","estuuvendidas","ventanetamndemandada","ventanetamnreal","ventanetamnest","ventanetadoldemd","ventanetadolreal","ventanetadolest","costoreposiciondolreal","costoreposiciondolest","costodereposicionuntdolreal","costodereposicionuntdolest","realnropedidos","estnropedidos","realtcpromedio"
PE,CYZONE,"201901","200044715","015019010","200069856         ","015",8606,"001",CZ DANIGHT EDP 100 ML,0,CZ DANIGHT EDP CC 100 ML,,65.0000,41.9000,1042,1042,1752,27374.60000,27374.60000,45413.915,8151,8151.6663,13479.939,1824,3068.1024,1.7512,1.7512,120352,115272,3
PE,CYZONE,"201901","200044715","015019010","200069856         ","015",1343,"998",CZ DANIGHT EDP 100 ML,0,CZ DANIGHT EDP CC 100 ML,0,65.0000,41.9000,1042,1042,1752,27374.60000,27374.60000,45413.915,8151,8151.6663,13479.939,1824,3068.1024,1.7512,1.7512,120352,115272,3
PE,ESIKA,"201901",P0210133000,"289052203","200085016         ","011",1343,"998",ES CFX LL BARRA 2GR,0,ES CFX LL PIMIENTA CALIENTE,0,43.0000,19.9000,4554,4554,415,55312.57000,55312.57000,5109.071,16471,16471.0942,1516.494,2111,192.3525,0.4635,0.4635,120352,115272,3
PE,ESIKA,"201901",P0210133000,"289052203","200085016         ","011",7875,"001",ES CFX LL BARRA 2GR,0,ES CFX LL PIMIENTA CALIENTE,,43.0000,19.9000,4554,4554,415,55312.57000,55312.57000,5109.071,16471,16471.0942,1516.494,2111,192.3525,0.4635,0.4635,120352,115272,3
PE,ESIKA,"201901",P0292130007,"292130057","200094715         ","001",1343,"998",ES PRO LL HD TRANSFORM 4G,0,ES PRO LL HD TRANSFO ROSA/DORÉ,0,35.0000,13.9000,4596,4596,3113,50396.88000,50396.88000,36670.100,15007,15007.2897,10884.564,3393,2298.3279,0.7383,0.7383,120352,115272,3
PE,ESIKA,"201901",P0292130007,"292130057","200094715         ","001",1908,"999",ES PRO LL HD TRANSFORM 4G,0,ES PRO LL HD TRANSFO ROSA/DORÉ,0,35.0000,11.4500,4596,4596,3113,50396.88000,50396.88000,36670.100,15007,15007.2897,10884.564,3393,2298.3279,0.7383,0.7383,120352,115272,3
PE,ESIKA,"201901",P0292130007,"292130057","200094715         ","001",1908,"999",ES PRO LL HD TRANSFORM 4G,0,ES PRO LL HD TRANSFO ROSA/DORÉ,0,35.0000,13.9000,4596,4596,3113,50396.88000,50396.88000,36670.100,15007,15007.2897,10884.564,3393,2298.3279,0.7383,0.7383,120352,115272,3
PE,ESIKA,"201901",P0292130007,"292130057","200094715         ","001",16491,"001",ES PRO LL HD TRANSFORM 4G,0,ES PRO LL HD TRANSFO ROSA/DORÉ,,35.0000,11.4500,4596,4596,3113,50396.88000,50396.88000,36670.100,15007,15007.2897,10884.564,3393,2298.3279,0.7383,0.7383,120352,115272,3
PE,ESIKA,"201901",P0292130007,"292130057","200094715         ","001",15645,"001",ES PRO LL HD TRANSFORM 4G,0,ES PRO LL HD TRANSFO ROSA/DORÉ,,35.0000,13.9000,4596,4596,3113,50396.88000,50396.88000,36670.100,15007,15007.2897,10884.564,3393,2298.3279,0.7383,0.7383,120352,115272,3
PE,ESIKA,"201901",P0292130007,"292130057","200094715         ","001",1306,"998",ES PRO LL HD TRANSFORM 4G,0,ES PRO LL HD TRANSFO ROSA/DORÉ,0,35.0000,13.9000,4596,4596,3113,50396.88000,50396.88000,36670.100,15007,15007.2897,10884.564,3393,2298.3279,0.7383,0.7383,120352,115272,3
