"GrupoDeAtributos","codsap","desnombrefantasiacatalogo","desnombreelementocatalogo","desnombrearticulocatalogo","descapacidadcatalogo","descapacidadcatalogo001","descapacidadcatalogo002","destallamedidacatalogo","desbeneficiosslogancatalogo","desfamiliaolfativacatalogo","desnombrelineacatalogo","descomentarioscatalogo","desmaestrocatalogo","destipoproductocatalogo","deshistoriaolfativatextoaprobado","desmodousotextoaprobado","destecnologiatextoaprobado","desbeneficioprincipal","desdisclaimerbeneficioprincipal","desbeneficiosecundario001","desdisclaimersecundario001","desbeneficiosecundario002","desdisclaimersecundario002","desbeneficiosecundario003","desdisclaimersecundario003","desbeneficiosecundario004","desdisclaimersecundario004","desbeneficiosecundario005","desdisclaimersecundario005"
"Comunicaciones","200085868","sexy glow","Loción humectante para el cuerpo con reflejos","CZ BIB LOC RELANZ SEXY 180MLFM","180 ml / 6 fl. oz.","","","","con reflejos tornasol","","body in bloom","","CYZONE PAISES","","","","","con reflejos tornasol","","con reflejos tornasol","","","","","","","","",""
"Comunicaciones","200085871","sensual touch","Loción suavizante humectante para el cuerpo","CZ BIB LOC RELANZ SENS 180MLFM","180 ml / 6 fl. oz.","","","","ilumina tu piel dejándola suave y perfumada","","body in bloom","","CYZONE PAISES","","","","","ilumina tu piel dejándola suave y perfumada","","ilumina tu piel dejándola suave y perfumada","","","","","","","","",""
"Comunicaciones","200087685","Berry Love","Loción hidratante corporal","Berry Love","400 ml / 13,5 fl.oz.","","","","","","Vive","","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","200087686","Petal Power","Loción hidratante corporal","Petal Power","400 ml / 13,5 fl.oz.","","","","","","Vive","","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","200087687","Citrus Energy","Loción hidratante corporal","Citrus Energy","400 ml / 13,5 fl.oz.","","","","","","Vive","","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","200091951","Hydra Milk","Loción corporal de hidratación prolongada","ES MULTICARE CR 400 ML","400 ml / 13,5 fl.oz.","","1","","FRAGANCIAS","ESIKA PAISES","Multicare","0","1","","","","","","","","","","","","","","","",""
"Comunicaciones","200092077","Fruity Freedom","Loción hidratante corporal","Fruity Freedom","400 ml / 13,5 fl.oz.","","","","","","Vive","","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","200092344","Ligne Experte Reconstruit","Línea Control Caída Revitalizadora para Cabello Debilitado","LB LIGNE EXP ANT AC 250 ML R","250 ml e 8.4 fl. oz.","250 ml","8.4 fl. oz.","8.4 fl. oz.","","","Línea Control Caída Revitalizadora para Cabello Debilitado","0","LBEL PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","200092280","Nutri-reparación avanzada","Shampoo","Shampoo","350 ml / 11,8 fl.oz.","","ESIKA PAISES","","","","Ésens Pro Salón","0","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","200088630","You Live!","Desodorantes roll-on","You Live!","50 ml / 1,6 fl.oz.","","","","","","Desodorantes roll-on","","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","200093862","Kadia Sport","Desodorantes roll-on","Kadia Sport","50 ml / 1,6 fl.oz.","","","","","","Desodorantes roll-on","","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","200093863","Magnat Select","Desodorantes roll-on","Magnat Select","50 ml / 1,6 fl.oz.","","","","","","Desodorantes roll-on","","ESIKA PAISES","","","","","","","","","","","","","","","",""
