grupodeatributos,codsap,desnombrefantasiacatalogo,desnombreelementocatalogo,desnombrearticulocatalogo,descapacidadcatalogo,destallamedidacatalogo,desbeneficiosslogancatalogo,desfamiliaolfativacatalogo,desnombrelineacatalogo,deshistoriaolfativatextoaprobado,desbeneficiosecundario001,desdisclaimersecundario001,desbeneficiosecundario002,desdisclaimersecundario002,desbeneficiosecundario003,desdisclaimersecundario003,desbeneficiosecundario004,desdisclaimersecundario004,desbeneficiosecundario005,desdisclaimersecundario005,desmaterialmedidacatalogo,desbeneficiosecundario006,desbeneficiosecundario007,desbeneficiosecundario008,desbeneficiosecundario009,desbeneficiosecundario010,desdisclaimersecundario006,desaromacatalogo,concentracionfraganciacatalogo
Comunicaciones,210046250,test 1,test 1,test 1,test 1,test 1,test 1,test 1,test 1,test 1,test 1,test 1,test 1,test 1,test 1,test 1,test 1,test 1,test 1,test 1,,,,,,,,,
Comunicaciones,210074338,ESIKA ACC CHAINING DAM LENTE,ACCESORIOS Chaining para dama,ESIKA ACC CHAINING DAM LENTE,,,,,Lentes Chaining para dama,,,,,,,,,,,,,,,,,,,,
Comunicaciones,210074342,ESIKA ACC GLAMMY DAM LENTE,ESIKA ACC GLAMMY DAM LENTE,ESIKA ACC GLAMMY DAM LENTE,,,,,ESIKA ACC GLAMMY DAM LENTE,,,,,,,,,,,,,,,,,,,,
Comunicaciones,210075739,ESIKA ACC RHINO CAB LENTE,ESIKA ACC RHINO CAB LENTE,ESIKA ACC RHINO CAB LENTE,,,,,ESIKA ACC RHINO CAB LENTE,,,,,,,,,,,,,,,,,,,,
Comunicaciones,210075740,ESIKA ACC TANK CAB LENTE,ESIKA ACC TANK CAB LENTE,ESIKA ACC TANK CAB LENTE,,,,,ESIKA ACC TANK CAB LENTE,,,,,,,,,,,,,,,,,,,,
Comunicaciones,210079893,ESIKA ACC ST JAMES CAB LENTE,ESIKA ACC ST JAMES CAB LENTE,ESIKA ACC ST JAMES CAB LENTE,,,,,ESIKA ACC ST JAMES CAB LENTE,,,,,,,,,,,,,,,,,,,,
Comunicaciones,210079895,ESIKA ACC WEDGWOOD CAB LENTE,ESIKA ACC WEDGWOOD CAB LENTE,ESIKA ACC WEDGWOOD CAB LENTE,,,,,ESIKA ACC WEDGWOOD CAB LENTE,,,,,,,,,,,,,,,,,,,,
Comunicaciones,210081169,ESIKA ACC CENTAURO CAB LEN,ESIKA ACC CENTAURO CAB LEN,ESIKA ACC CENTAURO CAB LEN,,,MAQUILLAJE,,ESIKA ACC CENTAURO CAB LEN,,,,,,,,,,,,,,,,,,,,
Comunicaciones,210082141,ESIKA ACC CASTLE CAB LENTE,ESIKA ACC CASTLE CAB LENTE,ESIKA ACC CASTLE CAB LENTE,,,MAQUILLAJE,,ESIKA ACC CASTLE CAB LENTE,,este el secundario,,,,,fr,,frf,,,,,,,,,,,
Comunicaciones,210082144,ESIKA ACC GLACE CHIC DAM LENTE,ESIKA ACC GLACE CHIC DAM LENTE,ESIKA ACC GLACE CHIC DAM LENTE,127844,,MAQUILLAJE,,ESIKA ACC GLACE CHIC DAM LENTE,,127844,127844,127844,127844,127844,,127844,,127844,,,,,,,,,,
Comunicaciones,210082934,LENTES LADY CAREY,ESIKA ACC LADY CAREY DAM LENTE,ESIKA ACC LADY CAREY DAM LENTE,Test OIEP LAGO,Test OIEP LAGO,Test OIEP LAGO,Test OIEP LAGO,ESIKA ACC LADY CAREY DAM LENTE,Test OIEP LAGO,Test OIEP LAGO,Test OIEP LAGO,Test OIEP LAGO,Test OIEP LAGO,Test OIEP LAGO,Test OIEP LAGO,Test OIEP LAGO,Test OIEP LAGO,Test OIEP LAGO,Test OIEP LAGO,,,,,,,,,
Comunicaciones,210082937,ESIKA ACC AFRODISIA DAM LENTE,ESIKA ACC AFRODISIA DAM LENTE,ESIKA ACC AFRODISIA DAM LENTE,.,,LENTES,,ESIKA ACC AFRODISIA DAM LENTE,,,,,,,,,,,,,,,,,,,,
Comunicaciones,210082938,ESIKA ACC CAREY SUN DAM LENTE,ESIKA ACC CAREY SUN DAM LENTE,ESIKA ACC CAREY SUN DAM LENTE,,,LENTES,,ESIKA ACC CAREY SUN DAM LENTE,,,,,,,,,,,,,,,,,,,,
Comunicaciones,210082939,ESIKA ACC HAYEK DAM LENTE,ESIKA ACC HAYEK DAM LENTE,ESIKA ACC HAYEK DAM LENTE,,,LENTES,,ESIKA ACC HAYEK DAM LENTE,,,,,,,,,,,,,,,,,,,,
Comunicaciones,210082942,LENTES CONFIDENT,ESIKA ACC CONFIDENT CAB LENTE,ESIKA ACC CONFIDENT CAB LENTE,,,LENTES,,ESIKA ACC CONFIDENT CAB LENTE,,,,,,,,,,,,,,,,,,,,
Comunicaciones,210083959,LENTES CAREY GLASS,ESIKA ACC CAREY GLASS  DAM LEN,ESIKA ACC CAREY GLASS  DAM LEN,.,,LENTES,,ESIKA ACC CAREY GLASS  DAM LEN,,,,,,,,,,,,,,,,,,,,
Comunicaciones,210083960,LENTES NUDE MIRAGE,ESIKA ACC NUDE MIRAGE DAM LEN,ESIKA ACC NUDE MIRAGE DAM LEN,dumy,dumy,LENTES,dumi,ESIKA ACC NUDE MIRAGE DAM LEN,,,,,,,,,,,,,,,,,,,,
Comunicaciones,210083961,LENTES ROSE VIEW,ESIKA ACC ROSE VIEW  DAM LEN,ESIKA ACC ROSE VIEW  DAM LEN,ert,,LENTES,,ESIKA ACC ROSE VIEW  DAM LEN,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,
Comunicaciones,210083963,LENTES BROWN CLUB,ESIKA ACC BROWN CLUB CAB LEN,ESIKA ACC BROWN CLUB CAB LEN,,,LENTES,,ESIKA ACC BROWN CLUB CAB LEN,,,,,,,,,,,,,,,,,,,,
Comunicaciones,210084396,ESIKA ACC LAZER FUN NINOS LEN,ESIKA ACC LAZER FUN NINOS LEN,ESIKA ACC LAZER FUN NINOS LEN,,,LENTES,ddd,ESIKA ACC LAZER FUN NINOS LEN,,dumy,dumy,dumy,,,dumy,dumy,dumy,dumy,dumy,,,,,,,,,
Comunicaciones,210084397,ESIKA ACC PURPLE FUN NINAS LEN,ESIKA ACC PURPLE FUN NINAS LEN,ESIKA ACC PURPLE FUN NINAS LEN,,,LENTES,,ESIKA ACC PURPLE FUN NINAS LEN,,,,,,,,,,,,,,,,,,,,
Comunicaciones,210084449,,Lentes hip brow,CYZONE HIP BROW LENTE,,Marco de metal (brass). Lunas y brazos de plástico.,,,,,,,,,,,,,,,Marco de metal (brass). Lunas y brazos de plástico.,,,,,,,,
Comunicaciones,210084450,,Lentes fast forward,CYZONE FAST FORWARD LENTE,,"Marco, brazos y lunas de plástico. Medidas aprox. Marco: 14.5 x 5.2 cm / 5.7 x 2” , Brazos: 13 cm / 5.1”",,,,,,,,,,,,,,,"Marco, brazos y lunas de plástico. Medidas aprox. Marco: 14.5 x 5.2 cm / 5.7 x 2” , Brazos: 13 cm / 5.1”",,,,,,,,
Comunicaciones,210084451,,Lentes carey trip,CYZONE CAREY TRIP LENTE,,Lentes con marco y brazos de pvc tipo carey. Lunas de acrílico espejadas con protección UV400.,,,,,,,,,,,,,,,Lentes con marco y brazos de pvc tipo carey. Lunas de acrílico espejadas con protección UV400.,,,,,,,,
Comunicaciones,210084527,ESIKA AC BLUE SUMME LENTE,ESIKA AC BLUE SUMME LENTE,ESIKA AC BLUE SUMME LENTE,,,LENTES,,ESIKA AC BLUE SUMME LENTE,,,,,,,,,,,,,,,,,,,,
Comunicaciones,210084711,LENTES TRAZIO,ESIKA ACC TRAZIO CAB LEN,ESIKA ACC TRAZIO CAB LEN,,,LENTES,,ESIKA ACC TRAZIO CAB LEN,,,,,,,,,,,,,,,,,,,,
Comunicaciones,210084867,LENTES ANGELINA,ESIKA ACC ANGELINA DAM LEN,ESIKA ACC ANGELINA DAM LEN,,,LENTES,,ESIKA ACC ANGELINA DAM LEN,,,,,,,,,,,,,,,,,,,,
Comunicaciones,210084868,LENTES IVANA,ESIKA ACC IVANA DAM LEN,ESIKA ACC IVANA DAM LEN,,,LENTES,,ESIKA ACC IVANA DAM LEN,,,,,,,,,,,,,,,,,,,,
Comunicaciones,210084871,LENTES RAZER,ESIKA ACC RAZER CAB LEN,ESIKA ACC RAZER CAB LEN,,,LENTES,,ESIKA ACC RAZER CAB LEN,,,,,,,,,,,,,,,,,,,,
Comunicaciones,210084872,LENTES DACIO,ESIKA ACC DACIO CAB LEN,ESIKA ACC DACIO CAB LEN,,,LENTES,,ESIKA ACC DACIO CAB LEN,,,,,,,,,,,,,,,,,,,,
Comunicaciones,210085040,LENTES GOLDENWAVE,ESIKA ACC GOLDENWAVE DAM LENTE,ESIKA ACC GOLDENWAVE DAM LENTE,,,LENTES,,ESIKA ACC GOLDENWAVE DAM LENTE,,,,,,,,,,,,,,,,,,,,
Comunicaciones,210085527,,Lentes first call,CYZONE FIRST CALL LENTE,,"Marco y brazos de plástico con efecto carey. Lunas de acrílico oscuras con protección UV400. Medidas: Marco: 16 cm /6.3”, Brazos: 14.5 cm / 5.7”",,,,,,,,,,,,,,,"Marco y brazos de plástico con efecto carey. Lunas de acrílico oscuras con protección UV400. Medidas: Marco: 16 cm /6.3”, Brazos: 14.5 cm / 5.7”",,,,,,,,
Comunicaciones,210085528,,Lentes color dúo,CYZONE COLOR DUO LENTE,,Marco y brazos de plástico a dos colores. Lunas de acrílico con efecto degradé y protección UV400. Medidas: 13.5 cm / 5.3”,,,,,,,,,,,,,,,Marco y brazos de plástico a dos colores. Lunas de acrílico con efecto degradé y protección UV400. Medidas: 13.5 cm / 5.3”,,,,,,,,
Comunicaciones,210085529,,Lentes rainbow me,CYZONE RAINBOW ME LENTE,,Marco de metal con baño dorado. Brazos de metal con baño dorado y protector de oreja. Lunas espejadas con efecto arcoíris y protección UV400. Medidas: Marco: 13.5 cm / 5.3”,,,,,,,,,,,,,,,Marco de metal con baño dorado. Brazos de metal con baño dorado y protector de oreja. Lunas espejadas con efecto arcoíris y protección UV400. Medidas: Marco: 13.5 cm / 5.3”,,,,,,,,
