"grupodeatributos","codsap","desproductosap","unidadmedidabase","codproducto","codgrupoarticulo","desgrupoarticulo","codunidadnegocio","codjerq01","codmarca","desmarca","codigonegocio","desnegocio","codatributo1","desatributo1","codatributo2","desatributo2","codatributo3","desatributo3","peticionborrado","tipoean","codean13","codcuc","descripcioncuc","codcuctono","descripcioncuctono","codlinea","deslinea","codjerq02","desjerq02","codcategoria","descategoria","codsubcategoria","dessubcategoria","codtipo","destipo","codsubtipo","dessubtipo","codproductogenerico","desproductogenerico","codproductosupergenerico","desproductosupergenerico","largo","ancho","Volumen","pesobruto","alto","unidadlongitud","unidadvolumen","unidadpeso","codclasemkt","aplicacionlugaruso","beneficio","descaracteristicabulk","edadobjetivo","familiafragancia","gama","grupoproductoac","mercado","presentacionenvase","sexo","sexoedadobjetivo","teoriacolor","tipoestuche","tipopielcabello","tipoproducto","contenidoneto","umcontenido","acabadoaccessorios","acabadocajareloj","acabadoluna","adicional","caracteristicastirasasas","caracteristicasbijouterie","cierrecomplementos","clasificacionproductos","colorcorrea","colorluna","colormarco","colortono","colortonocajareloj","detallecaja","detalleespecifi","detalleproducto","detallesuela","detallebrazo","detallemarcolentes","dialacabado","colorreloj","disenocomplementos","tipoestampado","estiloaccesorio","estiloropa","formacaja","grosorbrazo","GrupoProductosHogar","insumocajareloj","insumomaterialprimario","insumocomplementario","materialcajareloj","modelolentes","niveles","nombregenericoaccesorio","nombregenerico","ocasionusoaccesorio","ocasionusoropa","origenaccesorio","tipoplaneacion","posicionamiento","presentacionforma","rotulosfila","subtipoprodhogar","subtipoprodcomplementos","tallatamano","tema","tematico","tipoluna","tipomaterial","tipomaterialropacalzado","tipomaterialbrazolente","tipotirasasas","tipologiareloj","tirasasas","versatilidad"
"SAP","200093677","LB BIORENO  LIMP 125 G","Unidad","P0080178001","0104","Tratamiento Facial","Cosméticos","01010400040007","01","L'BEL","0104","TRATAMIENTO FACIAL","0004","ROSTRO","0007","LIMPIADORA / DEMAQUILLADORA","","","","","","200093677","LB BIORENO  LIMP 125 G","","","","BIO TRATAMIENTO FACIAL","1410156037213","TRATAMIENTO FACIAL/PARA ROSTRO/LIMPIADORAS/P-MUJER TODOTIPODECUTIS-NORMAL","10","TRATAMIENTO FACIAL","156","PARA ROSTRO","037","LIMPIADORAS","213","P-MUJER TODOTIPODECUTIS-NORMAL","","","","","56.000","42.000","0.435","152.000","185.000","Milímetro","Dm3","Gramo","Trat_Facial","Rostro","Limpia Y Demaquilla","Gel","","","","","Limpiadoras/Demaquilladoras Ae","","Femenino","","","","Todo Tipo De Cutis","Limpiadora / Demaquilladora","125.0","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","200093682","LB BIORENO LIMP BR 125 G","Unidad","P0080178002","0104","Tratamiento Facial","Cosméticos","01010400040007","01","L'BEL","0104","TRATAMIENTO FACIAL","0004","ROSTRO","0007","LIMPIADORA / DEMAQUILLADORA","","","","BC","7899490541673","200093677","LB BIORENO  LIMP 125 G","","","","BIO TRATAMIENTO FACIAL","1410156037213","TRATAMIENTO FACIAL/PARA ROSTRO/LIMPIADORAS/P-MUJER TODOTIPODECUTIS-NORMAL","10","TRATAMIENTO FACIAL","156","PARA ROSTRO","037","LIMPIADORAS","213","P-MUJER TODOTIPODECUTIS-NORMAL","","","","","56.000","42.000","0.435","152.000","185.000","Milímetro","Dm3","Gramo","Trat_Facial","Rostro","Limpia Y Demaquilla","Gel","","","","","Limpiadoras/Demaquilladoras Ae","","Femenino","","","","Todo Tipo De Cutis","Limpiadora / Demaquilladora","125.0","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","200094945","LB BIO TF LIMP V2 100 ML","Unidad","P0080034056","0104","Tratamiento Facial","Cosméticos","01010400040007","01","L'BEL","0104","TRATAMIENTO FACIAL","0004","ROSTRO","0007","LIMPIADORA / DEMAQUILLADORA","","","","","","200094945","LB BIO TF LIMP V2 100 ML","","","","BIO TRATAMIENTO FACIAL","1410156037213","TRATAMIENTO FACIAL/PARA ROSTRO/LIMPIADORAS/P-MUJER TODOTIPODECUTIS-NORMAL","10","TRATAMIENTO FACIAL","156","PARA ROSTRO","037","LIMPIADORAS","213","P-MUJER TODOTIPODECUTIS-NORMAL","","","","","0.000","0.000","0.000","0.000","0.000","Milímetro","Cm3","Gramo","Trat_Facial","Rostro","Limpia","Gel","","","","","Demaquilladoras/Limpiadoras Fa","","Femenino","","","","Todo Tipo De Cutis","Limpiadora / Demaquilladora","100.0","Ml","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","200094972","LB BIO TF HID+NU SAENC 2UN","Unidad","P0080034069","0104","Tratamiento Facial","Cosméticos","01010400040010","01","L'BEL","0104","TRATAMIENTO FACIAL","0004","ROSTRO","0010","MUESTRA","","","","","","200094972","LB BIO TF HID+NU SAENC 2UN","","","","BIO TRATAMIENTO FACIAL","1412057037275","MUESTRAS COSMETICOS/TRATAMIENTO FACIAL/LIMPIADORAS DEMAQUILLADORE/SACHET ENCARTADO","12","MUESTRAS COSMETICOS","057","TRATAMIENTO FACIAL","037","LIMPIADORAS DEMAQUILLADORE","275","SACHET ENCARTADO","","","","","235.000","160.000","0.376","22.500","10.000","Milímetro","Dm3","Gramo","Trat_Facial","Rostro","Varios","Crema","","","","","Muestras Cosm Trat Facial","","Femenino","","","","Todo Tipo De Cutis","Muestra","2.0","Un","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","200095832","ES OXY SUP LIMP SACH 1 G","Unidad","P0422270012","0104","Tratamiento Facial","Cosméticos","02010400040010","02","ESIKA","0104","TRATAMIENTO FACIAL","0004","ROSTRO","0010","MUESTRA","","","","","","200095832","ES OXY SUP LIMP SACH 1 G","","","","OMAR","1412057037276","MUESTRAS COSMETICOS/TRATAMIENTO FACIAL/LIMPIADORAS DEMAQUILLADORE/SACHET SIN ENCART","12","MUESTRAS COSMETICOS","057","TRATAMIENTO FACIAL","037","LIMPIADORAS DEMAQUILLADORE","276","SACHET SIN ENCART","","","","","0.000","0.000","0.000","0.000","0.000","Milímetro","Cm3","Gramo","Trat_Facial","Rostro","Limpia","Gel","","","","","Muestras Cosm Trat Facial","","Femenino","","","","Todo Tipo De Cutis","Muestra","1.0","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","200095917","ES OXY SUP LIMP 120 G","Unidad","P0422270009","0104","Tratamiento Facial","Cosméticos","02010400040007","02","ESIKA","0104","TRATAMIENTO FACIAL","0004","ROSTRO","0007","LIMPIADORA / DEMAQUILLADORA","","","","","","200095917","ES OXY SUP LIMP 120 G","","","","OMAR","1410156037213","TRATAMIENTO FACIAL/PARA ROSTRO/LIMPIADORAS/P-MUJER TODOTIPODECUTIS-NORMAL","10","TRATAMIENTO FACIAL","156","PARA ROSTRO","037","LIMPIADORAS","213","P-MUJER TODOTIPODECUTIS-NORMAL","","","","","0.000","0.000","0.000","0.000","0.000","Milímetro","Cm3","Gramo","Trat_Facial","Rostro","Limpia","Gel","","","","","Limpiadoras/Demaquilladoras Ae","","Femenino","","","","Todo Tipo De Cutis","Limpiadora / Demaquilladora","120.0","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","200095919","ES OXY SUP LIMP TRIA 5 G","Unidad","P0422270011","0104","Tratamiento Facial","Cosméticos","02010400040010","02","ESIKA","0104","TRATAMIENTO FACIAL","0004","ROSTRO","0010","MUESTRA","","","","","","200095919","ES OXY SUP LIMP TRIA 5 G","","","","OMAR","1412057037230","MUESTRAS COSMETICOS/TRATAMIENTO FACIAL/LIMPIADORAS DEMAQUILLADORE/TRIAL SIZE","12","MUESTRAS COSMETICOS","057","TRATAMIENTO FACIAL","037","LIMPIADORAS DEMAQUILLADORE","230","TRIAL SIZE","","","","","0.000","0.000","0.000","0.000","0.000","Milímetro","Cm3","Gramo","Trat_Facial","Rostro","Limpia","Gel","","","","","Muestras Cosm Trat Facial","","Femenino","","","","Todo Tipo De Cutis","Muestra","5.0","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","200096744","LB BIORENO LIMP TRIAL S 30 G","Unidad","P0080274004","0104","Tratamiento Facial","Cosméticos","01010400040007","01","L'BEL","0104","TRATAMIENTO FACIAL","0004","ROSTRO","0007","LIMPIADORA / DEMAQUILLADORA","","","","","","200096744","LB BIORENO LIMP TRIAL S 30 G","","","","BIO TRATAMIENTO FACIAL","1410156037213","TRATAMIENTO FACIAL/PARA ROSTRO/LIMPIADORAS/P-MUJER TODOTIPODECUTIS-NORMAL","10","TRATAMIENTO FACIAL","156","PARA ROSTRO","037","LIMPIADORAS","213","P-MUJER TODOTIPODECUTIS-NORMAL","","","","","26.000","26.000","98.868","40.000","105.000","Milímetro","Cm3","Gramo","Trat_Facial","Rostro","Limpia Y Demaquilla","Gel","","","","","Limpiadoras/Demaquilladoras Ae","","Femenino","","","","Todo Tipo De Cutis","Limpiadora / Demaquilladora","30.0","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","200095385","ES MULTICAR CR 1L","Unidad","P0401277002","0105","Tratamiento Corporal","Cosméticos","02010500020006","02","ESIKA","0105","TRATAMIENTO CORPORAL","0002","CUERPO","0006","LOCION / CREMA","","","","","","200095385","ES MULTICAR CR 1L","","","","MULTICARE","1509045383018","TRATAMIENTO CORPORAL/MANOS/HUMECTANTES-NUTRITIVAS/LOCIONES CREMAS","09","TRATAMIENTO CORPORAL","045","MANOS","383","HUMECTANTES-NUTRITIVAS","018","LOCIONES CREMAS","","","","","0.000","0.000","0.000","0.000","0.000","Milímetro","Cm3","Gramo","Trat_Corporal","Cuerpo","Humectante","Crema","","","","","Crema/Loc Corporal","Frasco Con Pump / Spray","Femenino","","","","Todo Tipo De Piel","Locion / Crema","1.0","L","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","200095566","ES PAR TROPIC ATTRACTION 200ML","Unidad","P0053276004","0105","Tratamiento Corporal","Cosméticos","02010500020006","02","ESIKA","0105","TRATAMIENTO CORPORAL","0002","CUERPO","0006","LOCION / CREMA","","","","","","200095566","ES PAR TROPIC ATTRACTION 200ML","","","","LINEA PARADISSO","1509019383055","TRATAMIENTO CORPORAL/CUERPO/HUMECTANTES-NUTRITIVAS/LOCIONES PERFUMADAS","09","TRATAMIENTO CORPORAL","019","CUERPO","383","HUMECTANTES-NUTRITIVAS","055","LOCIONES PERFUMADAS","","","","","77.000","50.000","685.300","227.000","178.000","Milímetro","Cm3","Gramo","Trat_Corporal","Cuerpo","Humectante","Crema","","","","","Crema/Loc Corporal","Frasco Con Pump / Spray","Femenino","","","","Todo Tipo De Piel","Locion / Crema","200.0","Ml","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
