"Origen Atributos","codsap","desproductosap","unidadmedidabase","codproducto","codgrupoarticulo","desgrupoarticulo","codunidadnegocio","codjerq01","codmarca","desmarca","codigonegocio","desnegocio","codatributo1","desatributo1","codatributo2","desatributo2","codatributo3","desatributo3","peticionborrado","tipoean","codean13","codcuc","descripcioncuc","codcuctono","descripcioncuctono","codlinea","deslinea","codjerq02","desjerq02","codcategoria","descategoria","codsubcategoria","dessubcategoria","codtipo","destipo","codsubtipo","dessubtipo","codproductogenerico","desproductogenerico","codproductosupergenerico","desproductosupergenerico","largo","ancho","volumen","pesobruto","alto","unidadlongitud","unidadvolumen","unidadpeso","codclasemkt","aplicacionlugaruso","beneficio","descaracteristicabulk","edadobjetivo","familiafragancia","gama","grupoproductoac","mercado","presentacionenvase","sexo","sexoedadobjetivo","teoriacolor","tipoestuche","tipopielcabello","tipoproducto","contenidoneto","umcontenido","acabadoaccessorios","acabadocajareloj","acabadoluna","adicional","caracteristicastirasasas","caracteristicasbijouterie","cierrecomplementos","clasificacionproductos","colorcorrea","colorluna","colormarco","colortono","colortonocajareloj","detallecaja","detalleespecifi","detalleproducto","detallesuela","detallebrazo","detallemarcolentes","dialacabado","colorreloj","disenocomplementos","tipoestampado","estiloaccesorio","estiloropa","formacaja","grosorbrazo","grupoproductoshogar","insumocajareloj","insumomaterialprimario","insumocomplementario","materialcajareloj","modelolentes","niveles","nombregenericoaccesorio","nombregenerico","ocasionusoaccesorio","ocasionusoropa","origenaccesorio","tipoplaneacion","posicionamiento","presentacionforma","rotulosfila","subtipoprodhogar","subtipoprodcomplementos","tallatamano","tema","tematico","tipoluna","tipomaterial","tipomaterialropacalzado","tipomaterialbrazolente","tipotirasasas","tipologiareloj","tirasasas","versatilidad"
"SAP","200100066","LB LECLAT SET C17 3UNI","UNI","P0445019006","0101","Fragancias","Cosmeticos","01010100010009","01","L'BEL","0101","FRAGANCIAS","0001","FEMENINO","0009","ESTUCHE","","","","","","","","","","LB FEMENINA P3 BAJA","LECLAT","1101165056999","FRAGANCIAS/DAMAS/ESTUCHES/VARIOS","01","FRAGANCIAS","165","DAMAS","056","ESTUCHES","999","VARIOS","","","","","0.000","0.000","0.000","0.000","0.000","MM","CM3","G","Fragancias","","Balance","No Aplica Estuches","","Floral Acuosa","","","Fraga Estuches Femeninos","Estuche","Femenino","","","Set de Venta","","Estuche","3.0","Un","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","210093503","CAJA BCP 2019","UNI","P0907221256","0503","Material Apoyo Venta","Apoyo","02050","02","ESIKA","050","NEGOCIOS DE APOYO","","","","","","","","","","","","","","SIN LINEA EN PARTICULAR","SIN LINEA EN PARTICULAR","7099999999999","VARIOS/VARIOS/VARIOS/VARIOS","99","VARIOS","999","VARIOS","999","VARIOS","999","VARIOS","","","","","28.800","28.600","4.036","200.000","4.900","MM","CM3","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","210093426","FI SERENDIPITY PUL","UNI","P0592889191","020104","Pulseras","Accesorios","020201","02","ESIKA","0201","BIJOUTERIE","","","","","","","","","","","","","","ESIKA ACCESORIOS","ESIKA ACCESORIOS","2021165174404","BIJOUTERIE/DAMAS/PULSERA/ORO CON CRISTALES","21","BIJOUTERIE","165","DAMAS","174","PULSERA","404","ORO CON CRISTALES","","","","","0.000","0.000","0.000","0.000","0.000","","","","Bijouterie","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","210093420","FI SILVER IN LOVE ANI T6","UNI","P0592833011","020105","Anillos","Accesorios","020201","02","ESIKA","0201","BIJOUTERIE","","","","","","","","","","","","","","ESIKA ACCESORIOS","ESIKA ACCESORIOS","2021165481404","BIJOUTERIE/DAMAS/ANILLO/ORO CON CRISTALES","21","BIJOUTERIE","165","DAMAS","481","ANILLO","404","ORO CON CRISTALES","P0592833001","FI SILVER IN LOVE ANI GENERICO","","","0.000","0.000","0.000","0.000","0.000","","","","Bijouterie","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","210093421","FI SILVER IN LOVE ANI T7","UNI","P0592833021","020105","Anillos","Accesorios","020201","02","ESIKA","0201","BIJOUTERIE","","","","","","","","","","","","","","ESIKA ACCESORIOS","ESIKA ACCESORIOS","2021165481404","BIJOUTERIE/DAMAS/ANILLO/ORO CON CRISTALES","21","BIJOUTERIE","165","DAMAS","481","ANILLO","404","ORO CON CRISTALES","P0592833001","FI SILVER IN LOVE ANI GENERICO","","","0.000","0.000","0.000","0.000","0.000","","","","Bijouterie","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","210093422","FI SILVER IN LOVE ANI T8","UNI","P0592833031","020105","Anillos","Accesorios","020201","02","ESIKA","0201","BIJOUTERIE","","","","","","","","","","","","","","ESIKA ACCESORIOS","ESIKA ACCESORIOS","2021165481404","BIJOUTERIE/DAMAS/ANILLO/ORO CON CRISTALES","21","BIJOUTERIE","165","DAMAS","481","ANILLO","404","ORO CON CRISTALES","P0592833001","FI SILVER IN LOVE ANI GENERICO","","","0.000","0.000","0.000","0.000","0.000","","","","Bijouterie","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","210093423","FI SILVER IN LOVE ANI T9","UNI","P0592833041","020105","Anillos","Accesorios","020201","02","ESIKA","0201","BIJOUTERIE","","","","","","","","","","","","","","ESIKA ACCESORIOS","ESIKA ACCESORIOS","2021165481404","BIJOUTERIE/DAMAS/ANILLO/ORO CON CRISTALES","21","BIJOUTERIE","165","DAMAS","481","ANILLO","404","ORO CON CRISTALES","P0592833001","FI SILVER IN LOVE ANI GENERICO","","","0.000","0.000","0.000","0.000","0.000","","","","Bijouterie","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","210093425","FI GOLD IN LOVE EST C+A","UNI","P0596047396","020106","Estuches","Accesorios","020201","02","ESIKA","0201","BIJOUTERIE","","","","","","","","","","","","","","ESIKA ACCESORIOS","ESIKA ACCESORIOS","2021165488407","BIJOUTERIE/DAMAS/ESTUCHE ARETES+COLLAR/ORO CON PERLAS","21","BIJOUTERIE","165","DAMAS","488","ESTUCHE ARETES+COLLAR","407","ORO CON PERLAS","","","","","0.000","0.000","0.000","0.000","0.000","","","","Bijouterie","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","210093428","K COLLAR COMERCIAL (DISP 4)","UNI","P0599002913","020102","Collares","Accesorios","990201","99","GENERICA","0201","BIJOUTERIE","","","","","","","","","","","","","","SIN LINEA EN PARTICULAR","SIN LINEA EN PARTICULAR","2088999094357","DAMAS/VARIOS/CLASICO/A","88","DAMAS","999","VARIOS","094","CLASICO","357","A","","","","","0.000","0.000","0.000","0.000","0.000","","","","Bijouterie","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","210093429","K COLLAR COMERCIAL (DISP 5)","UNI","P0599002914","020102","Collares","Accesorios","990201","99","GENERICA","0201","BIJOUTERIE","","","","","","","","","","","","","","SIN LINEA EN PARTICULAR","SIN LINEA EN PARTICULAR","2088999094357","DAMAS/VARIOS/CLASICO/A","88","DAMAS","999","VARIOS","094","CLASICO","357","A","","","","","0.000","0.000","0.000","0.000","0.000","","","","Bijouterie","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
