"grupodeatributos","codsap","desnombrecategoriawebredes","codcategoriawebredes","desnombreproductowebredes","desresumen","deswebredes","destitulodescubremas001","destitulodescubremas002","destitulodescubremas003","desdescubremas001","desdescubremas002","desdescubremas003","destitulotip001","destitulotip002","destitulotip003","destitulotip004","destip001","destip002","destip003","destip004","desimagen001","desimagen002","desimagen003","desimagen004","destextovideo001","destextovideo002","destextovideo003","destextovideo004","destextovideo005","desnombrearchivovideo001","desnombrearchivovideo002","desnombrearchivovideo003","desnombrearchivovideo004","desnombrearchivovideo005","deslinkvideo001","deslinkvideo002","deslinkvideo003","deslinkvideo004","deslinkvideo005","descolorrgb","despalabrasclave","destituloperfumista001","destituloperfumista002","desperfumista001","desperfumista002","destitulogeneralpasoapaso","destitulopaso001","destitulopaso002","destitulopaso003","destitulopaso004","despaso001","despaso002","despaso003","despaso004","desvarianttype","desdefaultvariant"
"WebRedes","200077159","ESSENTIAL","lbel-010112","Essential Limpiadora Cutis Normal a Graso","Crema limpiadora exfoliante que equilibra y controla la grasa en tu piel para cutis normal a graso. 180 ml e 6 fl.oz.","Devuélvele el equilibrio a tu piel, controla el exceso de grasa y brillo. Limpia y matifica en zonas grasas y humecta tu cutis en zonas secas. Perfección en un solo producto.","¿POR QUÉ NOS ENCANTA?","¿QUÉ HACE?","¿CÓMO FUNCIONA?","Tiene un doble efecto que conoce a la perfección tu piel. Matifica la piel grasa eliminando el brillo en la zona ""T"" e hidrata la piel seca de tu rostro. Además pueden usarla mujeres de toda edad.","Sus propiedades limpiadoras, refrescantes y astringentes ayudan a eliminar células muertas y a devolverle el equilibrio a la piel de tu rostro.","Contiene extracto de Flor de Pensée y Normaseb que ayuda a tu piel a estar equilibrada y libre de impurezas.","PASO 1","PASO 2","PASO 3","","Es de uso diario, puedes aplicarla dos veces al día: mañana y noche, después de limpiar tu rostro con Essential Limpiadora para tu tipo de piel.","Humedece una motita de algodón con Essential loción tónica.","Con el rostro limpio y seco date suaves golpecitos ascendentes. No lo apliques en la zona cercana a ojos y labios.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WebRedes","200085733","LOCIONES CORPORALES","lbel-040201","Loción Corporal Rosé","Loción corporal perfumada de almendras. 200 ml e 6.7 fl.oz.","","¿POR QUÉ NOS ENCANTA?","¿QUÉ HACE?","¿CÓMO FUNCIONA?","Le da a tu cuerpo un momento de celebración y glamour. Tiene aroma de Cassis Melange, un complejo de exóticos frutos rojos de delicada fragancia que humectarán y devolverán la suavidad a tu piel para una experiencia sensorial completa.","Te brinda hidratación inmediata y continua. Sentirás tu piel y con un aroma frutal único.","Contiene Cassis Melange: Complejo de Frutas Rojas rico en Vitaminas (A, C, P, Complejo B) que humectan y le devuelven suavidad y tersura a tu piel. También enriquecido con Champagne Sensortech: tecnología que brinda suavidad superior y acabado aterciopelado.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WebRedes","200088472","LOCIONES CORPORALES","lbel-040202","Crema Corporal Oleo De Almendras","Loción corporal perfumada de almendras. 200 ml e 6.7 fl.oz.","Deja que tu cuerpo se cubra del delicioso aroma del aceite de almendras que le dará una suavidad y humectación máxima a tu piel. Esta loción corporal es un gusto que no puedes dejar de probar.","¿POR QUÉ NOS ENCANTA?","¿QUÉ HACE?","¿CÓMO FUNCIONA?","Tendrás la piel que siempre quisiste, la piel perfecta para acariciar, hidratada, suave y con un aroma exquisito.","Crea un manto protector para la piel, que gracias a su excelente penetración dérmica, acondiciona la piel seca y le da flexibilidad.","Su Aceite de Almendras contiene ácido oleico y vitamina A, que hidrata y nutre la piel, evitando la pérdida de agua y protegiéndola de las agresiones externas. Además, su Aceite de Nuez de Macadamia, por su alto contenido en ácido palmitoleico y su riqueza en Omega 3 y 6, es excelente para darle la suavidad perfecta.","PASO 2","PASO 3","PASO 4","","AM: Aplicar la loción sobre la piel limpia y seca de preferencia en las mañanas luego del baño diario.","PM: En las noches antes de acostarte, extiéndela sobre tu piel con suaves masajes hasta su total absorción.","En cualquier momento del día: Sus aceites naturales protegen la piel y evitan que pierda agua manteniéndola hidratada.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WebRedes","200086040","SOMBRAS","lbel-020301","Perfeccionador de Cejas y Ojos","Sombra-delineador, iluminador, gel fijador, pincel angular, pincel fino, foam y cepillo. 4.4 g e .15 oz.","Todo lo que necesitas para tener una mirada espectacular lo encontrarás en este estuche. Cejas perfectas y un maquillaje de ojos ideal. Un objeto de lujo práctico que podrás llevar en tu día a día para lucir tu belleza única.","¿POR QUÉ NOS ENCANTA?","¿QUÉ HACE?","¿CÓMO FUNCIONA?","Un estuche práctico y portátil. Cuenta con tips de aplicación y aplicadores que ayudan a verte perfecta en tu día a día.","Ayuda a que tu mirada se vea perfecta en cualquier momento.","Gracias a sus sombras, iluminador y aplicadores y su práctico envase. Lo convierte en el objeto ideal para tus ojos.","PASO 1","PASO 2","PASO 3","","Define y enmarca tus cejas. Con la sombra Cholocat y el pincel angular, rellena tus cejas siguiendo su trazo natural.","Fija tus cejas. Para fijarlas, péinalas con el cepillo y para mayor fijación, aplica gel fijador.","","","","","","","","","","","","","","","","","https://www.youtube.com/embed/sfVEjfBRlVU","https://www.youtube.com/embed/AD6XJz6aYYQ","","","","","","","","","","","","","","","","","","","",""
"WebRedes","200075537","FLORAL","lbel-030201","Fragancia Fresca Brises de Vie","Eau de Toilette pour femme. 100 ml e 3.4 fl. oz.","Siente la alegría de llenar tu vida de momentos inolvidables.","¿POR QUÉ NOS ENCANTA?","¿QUÉ HACE?","¿CÓMO FUNCIONA?","Es una fragancia fresca, ideal para cualquier momento del día.","Un aroma que te ofrece la frescura de la alegría en el momento que necesites.","Sus notas de magnolia y orquídea enmarcadas en un chispeante aroma cítrico te brindan un placer único.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WebRedes","200075539","FLORAL","lbel-030201","Fragancia Fresca Émouv","Eau de Toilette Pour Femme. 100 ml e 3.4 fl. oz.","Un aroma que evoca a la mujer dinámica y llena de energía.","¿POR QUÉ NOS ENCANTA?","¿QUÉ HACE?","¿CÓMO FUNCIONA?","Es ideal para usarlo en tu día a día, su aroma floral te brinda la energía que necesitas.","Una fragancia que ofrece impulso en los momentos que más lo necesitas.","Sus ingredientes frescos de aromas florales y cítricos renuevan tu energía.",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","..",".",".","","http://.","http://.","http://.","http://.",".",".",".",".",".",".",".",".",".",".",".",".",".",".","","",""
"WebRedes","200082475","ORIENTAL","lbel-030202","Perfume La Passion","Eau de Parfum Atomiseur Pour Femme. 50 ml e 1.7 fl.oz.","Despierta La Passion que llevas dentro. Llevarla en tu piel es como tomar las riendas. Es vivir un placer intenso, sin límites, un momento en el que tu verdadera sensualidad se revela.","El AROMA","EL ENVASE","EL PERFUMISTA","La orquídea de Chocolate, la más irresistible de las flores con un dulce aroma capaz de dominar a quien se acerque a ella. Una esencia adictiva que junto a cálidas notas orientales te hará vivir momentos intensos.","Inspirado en la pasión y sensualidad, un envase con tonos rojos que transmiten la esencia de la mujer que usa La Passion y que quiere tomar las riendas de su vida.","""Las flores, como las mujeres, tienen en común esa delicadeza y belleza que provoca mirar sin parpadear. Quise reflejarlo con una fragancia que evoque la calidez y sensualidad de esta mujer. Además, agregué a mi creación un hermoso bouquet de flores donde incluí la Orquídea Chocolate, una flor que tan pronto te acercas a ella te impresiona con un maravilloso aroma a chocolate que flota sobre docenas de flores diminutas"" - Carmita Magalhaes (Perfumista senios - casa de perfumeria Firmenich)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WebRedes","200083954","HERBAL","lbel-030105","Perfume Courant","Eau de Toilette Pour Homme 100 ml e 3.4 fl. oz.","Un hombre que lleva en su interior la fuerza, el poder y frescura de las aguas del Ártico. Lleno de vitalidad, inmensidad y pureza extrema.","El AROMA","EL ENVASE","EL PERFUMISTA","Una fragancia que en su interior guarda mucha frescura, vitalidad y fuerza; gracias a su acorde central, el acorde Ártico. Se combina con la frescura de la menta y la brisa de la flores blancas. El fondo es una combinación confortable y seca de maderas suaves y de musk.","Una forma simple y masculina. Sus cortes y ángulos revelan el movimiento del agua, que junto al color azul recuerdan las frías aguas del Ártico.","""Esta fragancia es como un homenaje a uno de los recursos más valiosos y escasos de nuestro tiempo: el agua. Quise perpetuar en una fragancia toda la vitalidad, libertad, frescura y fuerza que este elemento transmite. Por eso, mi inspiración viajó a las aguas del mar Ártico, inmensas, heladas y de extrema pureza. Mi fragancia es así, equilibrada, pero en su interior guarda mucha frescura, vitalidad y fuerza; gracias a su acorde central, que al combinarse con la menta verde, la lima Kaffir y otras hierbas aromáticas, dan como resultado una frescura nunca antes experimentada."" - Harry Fremont (PErfumista Senior, Casa de perfumería Firmenich)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WebRedes","200083957","","lbel-0301","Perfume Súmmum","Eau de Toilette Atomiseur Pour Homme. 100 ml e 3.4 fl. oz.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WebRedes","200084258","FLORAL","lbel-030201","Perfume L'Bel by L'Bel","Eau de Parfum Atomiseur Pour Femme. 50 ml e 1.7 fl.oz","Tu belleza inspira porque es única, radiante, magnética y naturalmente sensual. Eres la manifestación perfecta de lo que es ser plenamente mujer y basta con unas gotas de perfume para sentir el placer de serlo sin límites.","El AROMA","EL ENVASE","EL PERFUMISTA","Un aroma que combina lo dulce y lo sensual, exalta la feminidaden tu piel, gracias al Living Musk combinado con sándalo, fresia y jazmín. Este perfume es todo lo que necesitas para transmitir la plenitud de ser mujer.","Un diseño moderno con una lujosa placa en la tapa del perfume. Un envase que logra a elegancia, provocación y sensualidad a través de las tranparencias y luz del mismo.","""Para crear el aroma tuve en mente el protagonismo de la piel para la mujer L'Bel, reflejando la radiancia y belleza que la caracteriza, e imprimiendo esa sensualidad envolvente que la hace ser plenamiente mujer. Me inspiré en todos aquellos detalles que la hacen infinitamente femenina y en capturar la esencia de su piel en el aroma de este perfume"" - Verónica Casanova (Perfumista Senior, Casa de perfumería IFF)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
