"grupodeatributos","codsap","desnombrefantasiacatalogo","desnombreelementocatalogo","desnombrearticulocatalogo","descapacidadcatalogo","descapacidadcatalogo001","descapacidadcatalogo002","destallamedidacatalogo","desbeneficiosslogancatalogo","desfamiliaolfativacatalogo","desnombrelineacatalogo","descomentarioscatalogo","desmaestrocatalogo","destipoproductocatalogo","deshistoriaolfativatextoaprobado","desmodousotextoaprobado","destecnologiatextoaprobado","desbeneficioprincipal","desdisclaimerbeneficioprincipal","desbeneficiosecundario001","desdisclaimersecundario001","desbeneficiosecundario002","desdisclaimersecundario002","desbeneficiosecundario003","desdisclaimersecundario003","desbeneficiosecundario004","desdisclaimersecundario004","desbeneficiosecundario005","desdisclaimersecundario005"
"Comunicaciones","210082937","ESIKA ACC AFRODISIA DAM LENTE",".",".",".",".","ESIKA PAISES","","LENTES","","ESIKA ACC AFRODISIA DAM LENTE","Juanca","Ibarra","","","","","","","","","","","","","","","",""
"Comunicaciones","210084450","","Lentes fast forward","CYZONE FAST FORWARD LENTE","","","","Marco, brazos y lunas de plástico. Medidas aprox. Marco: 14.5 x 5.2 cm / 5.7 x 2” ; Brazos: 13 cm / 5.1”","","","","","CYZONE PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210087433","ESIKA ACC TANGER LENTE","m","m","m","m","ESIKA PAISES","m","MAQUILLAJE","m","ESIKA ACC TANGER LENTE","0","","","","","","","","","","","","","","","","",""
"Comunicaciones","200091887","volumanía full black","Máscara para pestañas color intenso y volumen","black","10 g / 0.35 oz.","","","","","","cy","","CYZONE PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","200096772","power eyes","Delineador retráctil para ojos","metal brick","0.3 g","","","","","","cy","","CYZONE PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","200096773","power eyes","Delineador retráctil para ojos","metal copper","0.3 g","","","","","","cy","","CYZONE PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","200096774","power eyes","Delineador retráctil para ojos","metal gold","0.3 g","","","","","","cy","","CYZONE PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","200096775","power eyes","Delineador retráctil para ojos","metal olive","0.3 g","","","","","","cy","","CYZONE PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","200096776","power eyes","Delineador retráctil para ojos","metal sky","0.3 g","","","","","","cy","","CYZONE PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","200096777","power eyes","Delineador retráctil para ojos","metal black","0.3 g","","","","","","cy","","CYZONE PAISES","","","","","","","","","","","","","","","",""
