"""grupodeatributos""","CodSap","DesProductoSap","UnidadMedidaBase","CodProducto","Txt Grupo articulo","CodGrupoArticulo","CodUnidadNegocio","CodJerq01","CodMarca","DesMarca","CodigoNegocio","DesNegocio","CodAtributo1","DesAtributo1","CodAtributo2","DesAtributo2","CodAtributo3","DesAtributo3","PeticionBorrado","TipoEAN","CodEAN13","CodCUC","DescripcionCUC","CodCUCTono","DescripcionCUCTono","CodLinea","DesLinea","CodJerq02","DesJerq02","CodCategoria","DesCategoria","CodSubcategoria","DesSubcategoria","CodTipo","DesTipo","CodSubtipo","DesSubtipo","CodProductoGenerico","DesProductoGenerico","CodProductoSuperGenerico","DesProductoSuperGenerico","Largo","Ancho","Volumen","PesoBruto","Alto","Unidad Longitud","Unidad de Volumen","Unidad De Peso","CodClaseMKT","AplicacionLugarUso","Beneficio","DesCaracteristicaBulk","EdadObjetivo","FamiliaFragancia","Gama","GrupoProductoAC","Mercado","PresentacionEnvase","Sexo","SexoEdadObjetivo","TeoriaColor","TipoEstuche","TipoPielCabello","Tipo de Producto","ContenidoNeto","UmContenido","AcabadoAccessorios","AcabadoCajaReloj","AcabadoLuna","Adicional","CaracteristicasTirasAsas","CaracteristicasBijouterie","CierreComplementos","ClasificacionProductos","ColorCorrea","ColorLuna","ColorMarco","ColorTono","ColorTonoCajaReloj","DetalleCaja","DetalleEspecifi","DetalleProducto","DetalleSuela","DetalleBrazo","DetalleMarcoLentes","DialAcabado","ColorReloj","DisenoComplementos","TipoEstampado","EstiloAccesorio","EstiloRopa","FormaCaja","GrosorBrazo","GrupoProductosHogar","InsumoCajaReloj","InsumoMaterialPrimario","InsumoComplementario","MaterialCajaReloj","ModeloLentes","Niveles","NombreGenericoAccesorio","NombreGenerico","OcasionUsoAccesorio","OcasionUsoRopa","OrigenAccesorio","TipoPlaneacion","Posicionamiento","PresentacionForma","RotulosFila","SubtipoProdHogar","SubtipoProdComplementos","TallaTamano","Tema","Tematico","TipoLuna","TipoMaterial","TipoMaterialRopaCalzado","TipoMaterialBrazoLente","TipoTirasAsas","Tipologiareloj","TirasAsas","versatilidad"
"SAP","210087433","ESIKA ACC TANGER LENTE","Unidad","P0531092000","0202","Lentes","Accesorios","02","02","ESIKA","","","","","","","","","","","","","","","","","ESIKA ACCESORIOS","2220166094333","LENTES/CABALLEROS/CLASICO/METAL","20","LENTES","166","CABALLEROS","094","CLASICO","333","METAL","","","","","170.000","70.000","952.000","116.700","80.000","Milímetro","Cm3","Gramo","Lentes","","","","","","","","","","","Masculino","","","","Lentes","","","","","Solido","","","","","","","Plateado","Plateado","","","","","","","Metal","Otros","","","","","Elegante","","","","","","","","","Cristales","N1","","","","","","","","","","","","","","","","","","Metal","","","",""
"SAP","210092059","ES FLYING PARADISE LENTES","Unidad","P0531154000","0202","Lentes","Accesorios","02","02","ESIKA","","","","","","","","","","","","","","","","","ESIKA ACCESORIOS","2220165095333","LENTES/DAMAS/MODERNO/METAL","20","LENTES","165","DAMAS","095","MODERNO","333","METAL","","","","","0.000","0.000","0.000","0.000","0.000","","","","Lentes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","210092060","ES ULTRA FEMME LENTES","Unidad","P0531155000","0202","Lentes","Accesorios","02","02","ESIKA","","","","","","","","","","","","","","","","","ESIKA ACCESORIOS","2220165095422","LENTES/DAMAS/MODERNO/COMBINADO","20","LENTES","165","DAMAS","095","MODERNO","422","COMBINADO","","","","","0.000","0.000","0.000","0.000","0.000","","","","Lentes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","210092061","ES PRECISE LOOK LENTES","Unidad","P0531156000","0202","Lentes","Accesorios","02","02","ESIKA","","","","","","","","","","","","","","","","","ESIKA ACCESORIOS","2220165095333","LENTES/DAMAS/MODERNO/METAL","20","LENTES","165","DAMAS","095","MODERNO","333","METAL","","","","","0.000","0.000","0.000","0.000","0.000","","","","Lentes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","210092062","ES GOLD PLEASURE LENTES","Unidad","P0531157000","0202","Lentes","Accesorios","02","02","ESIKA","","","","","","","","","","","","","","","","","ESIKA ACCESORIOS","2220165095422","LENTES/DAMAS/MODERNO/COMBINADO","20","LENTES","165","DAMAS","095","MODERNO","422","COMBINADO","","","","","0.000","0.000","0.000","0.000","0.000","","","","Lentes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","210092063","ES BUTTERFEMME LENTES","Unidad","P0531158000","0202","Lentes","Accesorios","02","02","ESIKA","","","","","","","","","","","","","","","","","ESIKA ACCESORIOS","2220165095333","LENTES/DAMAS/MODERNO/METAL","20","LENTES","165","DAMAS","095","MODERNO","333","METAL","","","","","0.000","0.000","0.000","0.000","0.000","","","","Lentes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","210092064","ES BUTTERFEMME LENTES","Unidad","P0531159000","0202","Lentes","Accesorios","02","02","ESIKA","","","","","","","","","","","","","","","","","ESIKA ACCESORIOS","2220165095422","LENTES/DAMAS/MODERNO/COMBINADO","20","LENTES","165","DAMAS","095","MODERNO","422","COMBINADO","","","","","0.000","0.000","0.000","0.000","0.000","","","","Lentes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","210092065","ES EFERVESCENT LENTES","Unidad","P0531160000","0202","Lentes","Accesorios","02","02","ESIKA","","","","","","","","","","","","","","","","","ESIKA ACCESORIOS","2220166095422","LENTES/CABALLEROS/MODERNO/COMBINADO","20","LENTES","166","CABALLEROS","095","MODERNO","422","COMBINADO","","","","","0.000","0.000","0.000","0.000","0.000","","","","Lentes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","210092066","ES DARK MATTER LENTES","Unidad","P0531161000","0202","Lentes","Accesorios","02","02","ESIKA","","","","","","","","","","","","","","","","","ESIKA ACCESORIOS","2220166095333","LENTES/CABALLEROS/MODERNO/METAL","20","LENTES","166","CABALLEROS","095","MODERNO","333","METAL","","","","","0.000","0.000","0.000","0.000","0.000","","","","Lentes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","210092067","ES AIR NATION LENTES","Unidad","P0531162000","0202","Lentes","Accesorios","02","02","ESIKA","","","","","","","","","","","","","","","","","ESIKA ACCESORIOS","2220166095333","LENTES/CABALLEROS/MODERNO/METAL","20","LENTES","166","CABALLEROS","095","MODERNO","333","METAL","","","","","0.000","0.000","0.000","0.000","0.000","","","","Lentes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","210092068","ES FREE SPIRIT LENTES","Unidad","P0531163000","0202","Lentes","Accesorios","02","02","ESIKA","","","","","","","","","","","","","","","","","ESIKA ACCESORIOS","2220166358177","LENTES/CABALLEROS/DEPORTIVO/PLASTICO","20","LENTES","166","CABALLEROS","358","DEPORTIVO","177","PLASTICO","","","","","0.000","0.000","0.000","0.000","0.000","","","","Lentes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","210091015","ES FLYING SHADES LENTES","Unidad","P0531149000","0202","Lentes","Accesorios","02","02","ESIKA","","","","","","","","","","","","","","","","","ESIKA ACCESORIOS","2220165095333","LENTES/DAMAS/MODERNO/METAL","20","LENTES","165","DAMAS","095","MODERNO","333","METAL","","","","","133.000","146.000","1029.154","86.000","53.000","Milímetro","Cm3","Gramo","Lentes","","","","","","","","","","","Femenino","","","","Lentes","","","","","Espejo","","","","","","","Otros","Otros Colores","","","","","","","Otros","Metal","","","","","Otros","","","","","","","","","Cristales","N2","","","","","","","","","","","","","","","","","","Metal","","","",""
"SAP","210091018","ES PURE BLACK LENTES","Unidad","P0531151000","0202","Lentes","Accesorios","02","02","ESIKA","","","","","","","","","","","","","","","","","ESIKA ACCESORIOS","2220165095422","LENTES/DAMAS/MODERNO/COMBINADO","20","LENTES","165","DAMAS","095","MODERNO","422","COMBINADO","","","","","134.000","145.000","1107.510","91.000","57.000","Milímetro","Cm3","Gramo","Lentes","","","","","","","","","","","Femenino","","","","Lentes","","","","","Degrade","","","","","","","Gama Grises","Negro","","","","","","","Otros","Metal + Pvc","","","","","Otros","","","","","","","","","Sin Insumo","N2","","","","","","","","","","","","","","","","","","PVC","","","",""
"SAP","200097668","SHW C16 LIBERTAGE LIMPIADOR BO","Unidad","P0446279004","0104","Tratamiento Facial","Cosméticos","01010400040007","01","L'BEL","0104","TRATAMIENTO FACIAL","0004","ROSTRO","0007","LIMPIADORA / DEMAQUILLADORA","","","","","","200096670","LB LIBERTAGE LIMPIADORA 125 G","","","","LIBERTAGE","1410156037213","TRATAMIENTO FACIAL/PARA ROSTRO/LIMPIADORAS/P-MUJER TODOTIPODECUTIS-NORMAL","10","TRATAMIENTO FACIAL","156","PARA ROSTRO","037","LIMPIADORAS","213","P-MUJER TODOTIPODECUTIS-NORMAL","","","","","62.000","40.000","429.040","149.500","173.000","Milímetro","Cm3","Gramo","Trat_Facial","Rostro","Limpia Y Demaquilla","Gel","","","","","Demaquilladoras/Limpiadoras Fa","","Femenino","","","","Todo Tipo De Cutis","Limpiadora / Demaquilladora","125.0","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","210091476","CY GIGI STICK LIMPIADOR 50 G","Unidad","P0005279001","0104","Tratamiento Facial","Cosméticos","03010400040007","03","CYZONE","0104","TRATAMIENTO FACIAL","0004","ROSTRO","0007","LIMPIADORA / DEMAQUILLADORA","","","","","","","","","","","GIGI","1410156037213","TRATAMIENTO FACIAL/PARA ROSTRO/LIMPIADORAS/P-MUJER TODOTIPODECUTIS-NORMAL","10","TRATAMIENTO FACIAL","156","PARA ROSTRO","037","LIMPIADORAS","213","P-MUJER TODOTIPODECUTIS-NORMAL","","","","","0.000","0.000","0.000","0.000","0.000","Milímetro","Cm3","Gramo","Trat_Facial","Rostro","Limpia","Solido","","","","","Limpiadoras/Demaquilladoras Ae","","Femenino","","","","Todo Tipo De Cutis","Limpiadora / Demaquilladora","50.0","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","200097893","CY GIGI LIMPIADORA GEL 100ML","Unidad","P0005279002","0104","Tratamiento Facial","Cosméticos","03010400040007","03","CYZONE","0104","TRATAMIENTO FACIAL","0004","ROSTRO","0007","LIMPIADORA / DEMAQUILLADORA","","","","","","","","","","","GIGI","1410156037213","TRATAMIENTO FACIAL/PARA ROSTRO/LIMPIADORAS/P-MUJER TODOTIPODECUTIS-NORMAL","10","TRATAMIENTO FACIAL","156","PARA ROSTRO","037","LIMPIADORAS","213","P-MUJER TODOTIPODECUTIS-NORMAL","","","","","0.000","0.000","0.000","0.000","0.000","Milímetro","Cm3","Gramo","Trat_Facial","Rostro","Limpia","Gel","","","","","Limpiadoras/Demaquilladoras Ae","","Femenino","","","","Todo Tipo De Cutis","Limpiadora / Demaquilladora","100.0","Ml","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","200097914","SHWR C16 NC LOC HIDROANT 75 G","Unidad","P0044276032","0105","Tratamiento Corporal","Cosméticos","02010500030006","02","ESIKA","0105","TRATAMIENTO CORPORAL","0003","MANOS","0006","LOCION / CREMA","","","","","","200093330","ES NC LOC HIDROANT 75 G","","","","NATURAL CARE","1509045383018","TRATAMIENTO CORPORAL/MANOS/HUMECTANTES-NUTRITIVAS/LOCIONES CREMAS","09","TRATAMIENTO CORPORAL","045","MANOS","383","HUMECTANTES-NUTRITIVAS","018","LOCIONES CREMAS","","","","","62.000","40.000","310.000","93.400","125.000","Milímetro","Cm3","Gramo","Trat_Corporal","Manos","Humectante","Crema","","","","","Manos","Barra","Femenino","","","","Todo Tipo De Piel","Locion / Crema","75.0","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","200097921","SHWR C16 LIASSON LOC 160ML LB","Unidad","P0065276320","0105","Tratamiento Corporal","Cosméticos","01010500020006","01","L'BEL","0105","TRATAMIENTO CORPORAL","0002","CUERPO","0006","LOCION / CREMA","","","","","","200050939","LIASSON LOC PERF 160 ML LBEL","","","","LIASSON / FIANCEE","1509019383055","TRATAMIENTO CORPORAL/CUERPO/HUMECTANTES-NUTRITIVAS/LOCIONES PERFUMADAS","09","TRATAMIENTO CORPORAL","019","CUERPO","383","HUMECTANTES-NUTRITIVAS","055","LOCIONES PERFUMADAS","","","","","54.000","48.000","419.904","220.000","162.000","Milímetro","Cm3","Gramo","Trat_Corporal","Cuerpo","Humectante","Locion","36-45","","","","Cuerpo Hum/Nut Area Esp","Tubo","Femenino","","","","Todo Tipo De Piel","Locion / Crema","160.0","Ml","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","200097930","SHWR C16 BIB LOC RELAN 180MLFM","Unidad","P0337239015","0105","Tratamiento Corporal","Cosméticos","03010500020006","03","CYZONE","0105","TRATAMIENTO CORPORAL","0002","CUERPO","0006","LOCION / CREMA","","","","","","200046901","BODY IN BLOOM LOC HUM 180 ML","","","","BBTALKSENSO/SEXYGL","1509019383019","TRATAMIENTO CORPORAL/CUERPO/HUMECTANTES-NUTRITIVAS/CREMAS SUAVIZANTES","09","TRATAMIENTO CORPORAL","019","CUERPO","383","HUMECTANTES-NUTRITIVAS","019","CREMAS SUAVIZANTES","","","","","35.600","66.500","420.214","210.000","177.500","Milímetro","Cm3","Gramo","Trat_Corporal","Cuerpo","Suavizante","Locion","","","","","Crema/Loc Corporal","Frasco Con   Tapa","Femenino","","","","Todo Tipo De Piel","Locion / Crema","180.0","Ml","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","200097962","LB CONCE+MICEL KIT 2019 BR 2UN","Unidad","P0486274049","0104","Tratamiento Facial","Cosméticos","01010400040010","01","L'BEL","0104","TRATAMIENTO FACIAL","0004","ROSTRO","0010","MUESTRA","","","","","","200088623","LB KIT CONCE + MICELAR","","","","CONCENTRE TOTAL","1412057043230","MUESTRAS COSMETICOS/TRATAMIENTO FACIAL/TONICAS/TRIAL SIZE","12","MUESTRAS COSMETICOS","057","TRATAMIENTO FACIAL","043","TONICAS","230","TRIAL SIZE","","","","","0.000","0.000","0.000","0.000","0.000","Milímetro","Cm3","Gramo","Trat_Facial","Rostro","Varios","Sin Asignar","","","","","Muestras Cosm Trat Facial","","Femenino","","","","Sin Asignar","Muestra","2.0","Un","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","200097964","LB CONCENTRE TOTAL TS CC BR 5G","Unidad","P0486270063","0104","Tratamiento Facial","Cosméticos","01010400040010","01","L'BEL","0104","TRATAMIENTO FACIAL","0004","ROSTRO","0010","MUESTRA","","","","","","200087162","LB CONCE TO CR TRIAL 4 G","","","","CONCENTRE TOTAL","1412057041230","MUESTRAS COSMETICOS/TRATAMIENTO FACIAL/NUTRITIVAS REVITALIZADORA/TRIAL SIZE","12","MUESTRAS COSMETICOS","057","TRATAMIENTO FACIAL","041","NUTRITIVAS REVITALIZADORA","230","TRIAL SIZE","","","","","0.000","0.000","0.000","0.000","0.000","Milímetro","Cm3","Gramo","Trat_Facial","Rostro","Multifuncional","Crema","","","","","Muestras Cosm Trat Facial","","Femenino","","","","Todo Tipo De Cutis","Muestra","5.0","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","200097885","LB LECLAT DUMMIE LP 160 ML","Unidad","P0445019005","0105","Tratamiento Corporal","Cosméticos","01010500020006","01","L'BEL","0105","TRATAMIENTO CORPORAL","0002","CUERPO","0006","LOCION / CREMA","","","","","","","","","","","LECLAT","1509019383055","TRATAMIENTO CORPORAL/CUERPO/HUMECTANTES-NUTRITIVAS/LOCIONES PERFUMADAS","09","TRATAMIENTO CORPORAL","019","CUERPO","383","HUMECTANTES-NUTRITIVAS","055","LOCIONES PERFUMADAS","","","","","0.000","0.000","0.000","0.000","0.000","Milímetro","Cm3","Gramo","Trat_Corporal","Cuerpo","Humectante","Locion","","","","","Crema/Loc Corporal","Tubo","Femenino","","","","Todo Tipo De Piel","Locion / Crema","160.0","Ml","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","200098405","LB BBG HID EDAD 1 50G","Unidad","P0427277001","0104","Tratamiento Facial","Cosméticos","01010400040006","01","L'BEL","0104","TRATAMIENTO FACIAL","0004","ROSTRO","0006","HUMECTANTE","","","","","","","","","","","BIG BANG","1410156040213","TRATAMIENTO FACIAL/PARA ROSTRO/HUMECTANTES/P-MUJER TODOTIPODECUTIS-NORMAL","10","TRATAMIENTO FACIAL","156","PARA ROSTRO","040","HUMECTANTES","213","P-MUJER TODOTIPODECUTIS-NORMAL","","","","","0.000","0.000","0.000","0.000","0.000","Milímetro","Cm3","Gramo","Trat_Facial","Rostro","Hidratante","Crema","","","","","Humectante","","Femenino","","","","Todo Tipo De Cutis","Humectante","50.0","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","200098640","ES OMAR OJOS TRAT 15 ML","Unidad","P0422277001","0104","Tratamiento Facial","Cosméticos","02010400030011","02","ESIKA","0104","TRATAMIENTO FACIAL","0003","OJOS","0011","NUTRITIVA / REVITALIZADORA","","","","","","","","","","","OMAR","1410037041213","TRATAMIENTO FACIAL/PARA OJOS/NUTRITIVAS REVITALIZADORA/P-MUJER TODOTIPODECUTIS-NORM","10","TRATAMIENTO FACIAL","037","PARA OJOS","041","NUTRITIVAS REVITALIZADORA","213","P-MUJER TODOTIPODECUTIS-NORM","","","","","0.000","0.000","0.000","0.000","0.000","Milímetro","Cm3","Gramo","Trat_Facial","Ojos","Multifuncional","Crema","","","","","Crema Area Ojos","","Femenino","","","","Sin Asignar","Nutritiva / Revitalizadora","15.0","Ml","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
